Time,Volume,Open,High,Low,Close
2018-11-19 12:39:00,1,112.825,112.825,112.825,112.825
2018-11-19 12:39:05,1,112.823,112.823,112.823,112.823
2018-11-19 12:39:15,1,112.825,112.825,112.825,112.825
2018-11-19 12:39:30,1,112.823,112.823,112.823,112.823
2018-11-19 12:39:35,2,112.820,112.823,112.820,112.823
2018-11-19 12:39:45,1,112.825,112.825,112.825,112.825
2018-11-19 12:39:50,1,112.828,112.828,112.828,112.828
2018-11-19 12:39:55,1,112.830,112.830,112.830,112.830
2018-11-19 12:40:10,2,112.833,112.833,112.830,112.830
2018-11-19 12:40:20,1,112.828,112.828,112.828,112.828
2018-11-19 12:40:25,1,112.830,112.830,112.830,112.830
2018-11-19 12:40:40,3,112.833,112.836,112.832,112.832
2018-11-19 12:40:45,1,112.835,112.835,112.835,112.835
2018-11-19 12:40:50,3,112.832,112.836,112.832,112.836
2018-11-19 12:40:55,3,112.839,112.842,112.839,112.840
2018-11-19 12:41:10,4,112.836,112.840,112.834,112.840
2018-11-19 12:41:15,1,112.842,112.842,112.842,112.842
2018-11-19 12:41:20,2,112.839,112.841,112.839,112.841
2018-11-19 12:41:25,2,112.839,112.841,112.839,112.841
2018-11-19 12:41:50,2,112.839,112.839,112.836,112.836
2018-11-19 12:42:10,2,112.834,112.834,112.832,112.832
2018-11-19 12:42:20,1,112.830,112.830,112.830,112.830
2018-11-19 12:42:30,2,112.826,112.829,112.826,112.829
2018-11-19 12:42:35,1,112.831,112.831,112.831,112.831
2018-11-19 12:42:45,1,112.829,112.829,112.829,112.829
2018-11-19 12:42:55,2,112.826,112.826,112.824,112.824
2018-11-19 12:43:05,2,112.827,112.830,112.827,112.830
2018-11-19 12:43:10,2,112.827,112.830,112.827,112.830
2018-11-19 12:43:20,1,112.826,112.826,112.826,112.826
2018-11-19 12:43:35,1,112.829,112.829,112.829,112.829
2018-11-19 12:43:40,1,112.831,112.831,112.831,112.831
2018-11-19 12:43:50,1,112.829,112.829,112.829,112.829
2018-11-19 12:44:10,1,112.826,112.826,112.826,112.826
2018-11-19 12:44:15,1,112.824,112.824,112.824,112.824
2018-11-19 12:44:25,1,112.827,112.827,112.827,112.827
2018-11-19 12:44:35,1,112.824,112.824,112.824,112.824
2018-11-19 12:44:55,2,112.826,112.829,112.826,112.829
2018-11-19 12:45:25,3,112.831,112.834,112.831,112.831
2018-11-19 12:45:40,1,112.829,112.829,112.829,112.829
2018-11-19 12:45:50,1,112.826,112.826,112.826,112.826
2018-11-19 12:46:00,2,112.828,112.828,112.826,112.826
2018-11-19 12:46:05,2,112.828,112.830,112.828,112.830
2018-11-19 12:46:10,2,112.828,112.830,112.828,112.830
2018-11-19 12:46:20,1,112.828,112.828,112.828,112.828
2018-11-19 12:46:25,1,112.826,112.826,112.826,112.826
2018-11-19 12:46:45,1,112.828,112.828,112.828,112.828
2018-11-19 12:46:50,1,112.826,112.826,112.826,112.826
2018-11-19 12:46:55,2,112.828,112.831,112.828,112.831
2018-11-19 12:47:00,2,112.828,112.830,112.828,112.830
2018-11-19 12:48:15,1,112.828,112.828,112.828,112.828
2018-11-19 12:48:25,3,112.826,112.830,112.826,112.830
2018-11-19 12:49:20,2,112.833,112.836,112.833,112.836
2018-11-19 12:49:30,1,112.838,112.838,112.838,112.838
2018-11-19 12:49:35,1,112.836,112.836,112.836,112.836
2018-11-19 12:49:40,1,112.832,112.832,112.832,112.832
2018-11-19 12:49:45,2,112.830,112.830,112.828,112.828
2018-11-19 12:49:50,1,112.830,112.830,112.830,112.830
2018-11-19 12:50:05,3,112.828,112.828,112.824,112.827
2018-11-19 12:50:10,3,112.830,112.830,112.824,112.824
2018-11-19 12:50:45,3,112.827,112.830,112.827,112.827
2018-11-19 12:50:55,1,112.830,112.830,112.830,112.830
2018-11-19 12:51:35,1,112.826,112.826,112.826,112.826
2018-11-19 12:51:40,1,112.830,112.830,112.830,112.830
2018-11-19 12:51:45,1,112.826,112.826,112.826,112.826
2018-11-19 12:51:50,2,112.829,112.832,112.829,112.832
2018-11-19 12:52:15,1,112.830,112.830,112.830,112.830
2018-11-19 12:52:20,2,112.827,112.829,112.827,112.829
2018-11-19 12:52:35,1,112.827,112.827,112.827,112.827
2018-11-19 12:52:45,3,112.824,112.824,112.822,112.824
2018-11-19 12:53:05,1,112.822,112.822,112.822,112.822
2018-11-19 12:53:10,4,112.820,112.822,112.820,112.822
2018-11-19 12:53:20,1,112.820,112.820,112.820,112.820
2018-11-19 12:53:30,1,112.818,112.818,112.818,112.818
2018-11-19 12:54:20,1,112.820,112.820,112.820,112.820
2018-11-19 12:54:25,1,112.818,112.818,112.818,112.818
2018-11-19 12:54:30,2,112.820,112.822,112.820,112.822
2018-11-19 12:54:40,2,112.820,112.820,112.818,112.818
2018-11-19 12:54:45,2,112.820,112.822,112.820,112.822
2018-11-19 12:55:00,3,112.820,112.822,112.820,112.820
2018-11-19 12:55:10,3,112.817,112.822,112.817,112.822
2018-11-19 12:55:15,1,112.820,112.820,112.820,112.820
2018-11-19 12:55:20,2,112.822,112.825,112.822,112.825
2018-11-19 12:55:30,2,112.828,112.828,112.825,112.825
2018-11-19 12:55:35,2,112.823,112.823,112.820,112.820
2018-11-19 12:55:40,1,112.818,112.818,112.818,112.818
2018-11-19 12:55:45,2,112.821,112.821,112.818,112.818
2018-11-19 12:55:55,2,112.816,112.818,112.816,112.818
2018-11-19 12:56:10,1,112.816,112.816,112.816,112.816
2018-11-19 12:56:15,3,112.818,112.818,112.814,112.814
2018-11-19 12:56:20,3,112.816,112.820,112.816,112.818
2018-11-19 12:56:25,1,112.820,112.820,112.820,112.820
2018-11-19 12:56:30,5,112.817,112.817,112.808,112.808
2018-11-19 12:56:35,3,112.810,112.812,112.810,112.810
2018-11-19 12:56:40,1,112.808,112.808,112.808,112.808
2018-11-19 12:56:55,4,112.805,112.805,112.798,112.798
2018-11-19 12:57:05,1,112.796,112.796,112.796,112.796
2018-11-19 12:57:15,1,112.798,112.798,112.798,112.798
2018-11-19 12:57:25,1,112.801,112.801,112.801,112.801
2018-11-19 12:57:40,1,112.804,112.804,112.804,112.804
2018-11-19 12:57:45,1,112.806,112.806,112.806,112.806
2018-11-19 12:57:50,2,112.809,112.809,112.806,112.806
2018-11-19 12:57:55,2,112.803,112.803,112.800,112.800
2018-11-19 12:58:00,1,112.798,112.798,112.798,112.798
2018-11-19 12:58:05,2,112.795,112.798,112.795,112.798
2018-11-19 12:58:10,2,112.794,112.794,112.792,112.792
2018-11-19 12:58:30,1,112.790,112.790,112.790,112.790
2018-11-19 12:58:40,1,112.792,112.792,112.792,112.792
2018-11-19 12:58:45,3,112.790,112.790,112.788,112.790
2018-11-19 12:59:05,1,112.792,112.792,112.792,112.792
2018-11-19 12:59:20,2,112.789,112.789,112.786,112.786
2018-11-19 12:59:35,1,112.784,112.784,112.784,112.784
2018-11-19 12:59:55,1,112.787,112.787,112.787,112.787
2018-11-19 13:00:00,2,112.790,112.792,112.790,112.792
2018-11-19 13:00:05,2,112.790,112.790,112.787,112.787
2018-11-19 13:00:10,1,112.790,112.790,112.790,112.790
2018-11-19 13:00:15,5,112.788,112.790,112.784,112.788
2018-11-19 13:00:25,1,112.790,112.790,112.790,112.790
2018-11-19 13:00:30,1,112.792,112.792,112.792,112.792
2018-11-19 13:00:50,2,112.795,112.798,112.795,112.798
2018-11-19 13:00:55,1,112.800,112.800,112.800,112.800
2018-11-19 13:01:00,3,112.802,112.802,112.800,112.802
2018-11-19 13:01:05,2,112.800,112.800,112.798,112.798
2018-11-19 13:01:20,3,112.795,112.798,112.795,112.795
2018-11-19 13:01:35,1,112.798,112.798,112.798,112.798
2018-11-19 13:01:40,1,112.795,112.795,112.795,112.795
2018-11-19 13:01:45,1,112.792,112.792,112.792,112.792
2018-11-19 13:01:55,2,112.794,112.797,112.794,112.797
2018-11-19 13:02:05,2,112.794,112.794,112.792,112.792
2018-11-19 13:02:10,1,112.794,112.794,112.794,112.794
2018-11-19 13:02:15,3,112.796,112.802,112.796,112.802
2018-11-19 13:02:20,3,112.805,112.805,112.800,112.800
2018-11-19 13:02:25,1,112.798,112.798,112.798,112.798
2018-11-19 13:02:30,2,112.800,112.800,112.798,112.798
2018-11-19 13:02:40,1,112.801,112.801,112.801,112.801
2018-11-19 13:02:45,1,112.804,112.804,112.804,112.804
2018-11-19 13:02:55,2,112.800,112.800,112.798,112.798
2018-11-19 13:03:00,2,112.800,112.802,112.800,112.802
2018-11-19 13:03:05,1,112.805,112.805,112.805,112.805
2018-11-19 13:03:10,1,112.803,112.803,112.803,112.803
2018-11-19 13:03:55,1,112.800,112.800,112.800,112.800
2018-11-19 13:04:15,1,112.802,112.802,112.802,112.802
2018-11-19 13:04:20,2,112.806,112.806,112.803,112.803
2018-11-19 13:04:25,1,112.805,112.805,112.805,112.805
2018-11-19 13:04:40,4,112.803,112.803,112.795,112.795
2018-11-19 13:04:45,3,112.792,112.798,112.792,112.798
2018-11-19 13:04:50,5,112.794,112.798,112.792,112.794
2018-11-19 13:05:00,3,112.796,112.796,112.792,112.792
2018-11-19 13:05:05,4,112.794,112.797,112.794,112.797
2018-11-19 13:05:15,1,112.794,112.794,112.794,112.794
2018-11-19 13:05:20,1,112.796,112.796,112.796,112.796
2018-11-19 13:05:30,1,112.799,112.799,112.799,112.799
2018-11-19 13:05:40,1,112.802,112.802,112.802,112.802
2018-11-19 13:05:45,2,112.804,112.804,112.801,112.801
2018-11-19 13:05:50,2,112.798,112.800,112.798,112.800
2018-11-19 13:05:55,2,112.802,112.805,112.802,112.805
2018-11-19 13:06:00,2,112.803,112.805,112.803,112.805
2018-11-19 13:06:05,2,112.808,112.808,112.805,112.805
2018-11-19 13:06:10,2,112.803,112.805,112.803,112.805
2018-11-19 13:06:20,4,112.803,112.803,112.798,112.800
2018-11-19 13:06:25,2,112.802,112.805,112.802,112.805
2018-11-19 13:06:30,5,112.802,112.802,112.792,112.792
2018-11-19 13:07:00,3,112.794,112.799,112.794,112.799
2018-11-19 13:07:10,1,112.802,112.802,112.802,112.802
2018-11-19 13:07:30,1,112.804,112.804,112.804,112.804
2018-11-19 13:07:35,1,112.806,112.806,112.806,112.806
2018-11-19 13:07:45,2,112.804,112.804,112.802,112.802
2018-11-19 13:07:50,1,112.799,112.799,112.799,112.799
2018-11-19 13:07:55,2,112.796,112.796,112.794,112.794
2018-11-19 13:08:00,1,112.796,112.796,112.796,112.796
2018-11-19 13:08:05,2,112.798,112.798,112.796,112.796
2018-11-19 13:08:10,1,112.793,112.793,112.793,112.793
2018-11-19 13:08:15,4,112.796,112.798,112.796,112.798
2018-11-19 13:08:20,2,112.796,112.796,112.794,112.794
2018-11-19 13:08:35,1,112.796,112.796,112.796,112.796
2018-11-19 13:08:40,1,112.799,112.799,112.799,112.799
2018-11-19 13:09:00,6,112.802,112.806,112.801,112.804
2018-11-19 13:09:05,1,112.806,112.806,112.806,112.806
2018-11-19 13:09:30,1,112.804,112.804,112.804,112.804
2018-11-19 13:09:35,3,112.801,112.806,112.801,112.806
2018-11-19 13:09:40,1,112.808,112.808,112.808,112.808
2018-11-19 13:09:50,2,112.806,112.806,112.804,112.804
2018-11-19 13:09:55,2,112.806,112.806,112.804,112.804
2018-11-19 13:10:00,2,112.802,112.802,112.800,112.800
2018-11-19 13:10:25,2,112.802,112.806,112.802,112.806
2018-11-19 13:10:30,5,112.803,112.805,112.800,112.802
2018-11-19 13:10:35,1,112.800,112.800,112.800,112.800
2018-11-19 13:10:40,2,112.798,112.798,112.796,112.796
2018-11-19 13:10:50,1,112.798,112.798,112.798,112.798
2018-11-19 13:11:00,1,112.795,112.795,112.795,112.795
2018-11-19 13:11:05,1,112.792,112.792,112.792,112.792
2018-11-19 13:11:20,4,112.790,112.790,112.788,112.788
2018-11-19 13:11:25,2,112.790,112.792,112.790,112.792
2018-11-19 13:11:30,1,112.795,112.795,112.795,112.795
2018-11-19 13:11:35,1,112.798,112.798,112.798,112.798
2018-11-19 13:11:40,1,112.795,112.795,112.795,112.795
